FT ID AT  WT ST 
9 2 5 0 4
11 3 5 2 4
12 15 9 0 3
12 9 5 0 7
12 7 5 0 7
13 10 5 0 8
14 13 9 0 5
14 5 5 0 9
15 1 5 2 8
15 4 5 0 10
16 18 10 4 2
18 19 13 2 3
18 16 10 2 6
19 8 5 0 14
20 20 13 0 7
20 17 10 1 9
24 26 20 1 3
24 22 17 2 5
25 14 9 5 11
25 6 5 2 18
27 23 17 0 10
27 11 8 4 15
31 21 17 2 12
37 12 8 4 25
39 25 18 7 14
50 24 18 2 30
Orders:26 [Norm:1, Veg : 7, VIP :18] 
Cooks:11  [Norm:3, Veg:7, VIP:1 ,injured:0 ]
Avg Wait =2.8 , Avg Serv =9.57692
Urgent Orders: 6,  Auto-Promoted :85.7143%
